epoch  82 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.29162, 
Warning: failed to save checkpoint at epoch 82: name 'train_new_save_path' is not defined
epoch  83 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.27881, 
Warning: failed to save checkpoint at epoch 83: name 'train_new_save_path' is not defined
epoch  84 summary: dyn_dyn_cos_loss: 0.00508, dyn_sta_cos_loss: 0.00172, total_cos_loss : 0.00172, vocab_cro_loss : 1.30217, 
Warning: failed to save checkpoint at epoch 84: name 'train_new_save_path' is not defined
epoch  85 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.27776, 
Warning: failed to save checkpoint at epoch 85: name 'train_new_save_path' is not defined
epoch  86 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.25766, 
Warning: failed to save checkpoint at epoch 86: name 'train_new_save_path' is not defined
epoch  87 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.22931, 
Warning: failed to save checkpoint at epoch 87: name 'train_new_save_path' is not defined
epoch  88 summary: dyn_dyn_cos_loss: 0.00491, dyn_sta_cos_loss: 0.00165, total_cos_loss : 0.00165, vocab_cro_loss : 1.22999, 
Warning: failed to save checkpoint at epoch 88: name 'train_new_save_path' is not defined
epoch  89 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.24256, 
Warning: failed to save checkpoint at epoch 89: name 'train_new_save_path' is not defined
epoch  90 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.23406, 
